sample_id,split,stage,point,x,y,z
train_00000,train,0,A1,-1170.51913680411,197.6970994901715,-26.100318771990985
train_00000,train,0,A2,-1259.5574806740465,-293.34971079552355,2.7314344274177245
train_00000,train,0,A3,-1361.1152380183341,-134.98894956623664,-378.76595420699476
train_00000,train,0,B1,-8.12018066541861,40.67633728257983,169.81872766385186
train_00000,train,0,B2,273.90866558899114,-481.2693519558989,259.23795187478015
train_00000,train,0,B3,572.7516849575416,-318.26721157112775,-234.81986572129426
train_00000,train,0,C1,1383.494560237124,308.9505054387733,328.343062149892
train_00000,train,0,C2,1332.5140990869502,-220.04959138423962,428.45784633597407
train_00000,train,0,C3,1496.9269168945546,-118.91955973533112,-76.79759911923709
train_00000,train,1,A1,-999.9921722009979,272.91646087247466,99.37774857886313
train_00000,train,1,A2,-1150.0694967315176,-199.0567604757502,166.97669318391027
train_00000,train,1,A3,-1300.0090271305226,-34.44402375011694,-195.38557522009495
train_00000,train,1,B1,-300.0251215003135,281.8702318192905,102.61813830076095
train_00000,train,1,B2,0.020430147618211308,-229.85584217068168,192.80316186372036
train_00000,train,1,B3,300.0219702309492,-52.05018296231381,-295.4309299676072
train_00000,train,1,C1,1000.0044729462387,281.900735657178,102.55867663899862
train_00000,train,1,C2,1149.9697626066845,-229.87789517176495,192.77924115703044
train_00000,train,1,C3,1299.971122456003,-52.071046552877036,-295.51225658793555
train_00000,train,2,A1,-750.0043355352716,272.9398324369334,99.35371546600798
train_00000,train,2,A2,-899.8911349679355,-198.99239876722413,166.91091115540536
train_00000,train,2,A3,-1049.9562929997003,-34.4772618239615,-195.51184133184267
train_00000,train,2,B1,-300.07412985729184,281.88852746938016,102.60000835106104
train_00000,train,2,B2,-0.02293116123863786,-229.80300466829542,192.8783893883233
train_00000,train,2,B3,300.0001735425852,-52.08116388718462,-295.4723069118366
train_00000,train,2,C1,999.9973900031749,281.8180736890213,102.52535108864377
train_00000,train,2,C2,1150.0131506536434,-229.83243004536934,192.77162764614232
train_00000,train,2,C3,1300.012654717216,-52.042661798622255,-295.48857810855174
train_00000,train,3,A1,-750.0343943896775,272.9810411912963,99.3012412739553
train_00000,train,3,A2,-899.9866550661237,-199.04922382019808,166.88105059337715
train_00000,train,3,A3,-1049.9822270329223,-34.42461475553125,-195.5467394491102
train_00000,train,3,B1,-300.001020159719,281.9244349513516,102.58285092951519
train_00000,train,3,B2,-0.02014091696239638,-229.7344908197076,192.86736067313154
train_00000,train,3,B3,299.9646192822431,-52.064744096133474,-295.46155547474314
train_00000,train,3,C1,749.8838566181827,282.0145483374902,102.60257237120487
train_00000,train,3,C2,899.9178372335224,-229.7308063403423,192.84731684355384
train_00000,train,3,C3,1049.923783463019,-51.95677974671293,-295.5023574322448
train_00000,train,4,A1,-749.9897351611438,272.965639242127,99.45002805266299
train_00000,train,4,A2,-899.9282359636588,-198.98316170980593,167.07054220750047
train_00000,train,4,A3,-1049.9553412932287,-34.39294463080089,-195.3806142143406
train_00000,train,4,B1,-300.0492146274613,281.8594320979077,102.70463979365755
train_00000,train,4,B2,0.04880275536497668,-229.87369319481334,192.87576955400252
train_00000,train,4,B3,299.955088160798,-52.125206248832924,-295.3544093362934
train_00000,train,4,C1,749.9264735009333,281.9935317201977,102.59755929957446
train_00000,train,4,C2,899.9390448683679,-229.78692897459922,192.82864957629386
train_00000,train,4,C3,1049.9459832107868,-52.125396363580165,-295.4674588829349
train_00001,train,0,A1,-768.0626152021977,97.33621605739906,265.02515823602954
train_00001,train,0,A2,-876.9244625038782,-384.21563794856723,342.84223332272705
train_00001,train,0,A3,-963.189355873964,-263.63198631244666,-55.869259867472174
train_00001,train,0,B1,-248.30684789906056,63.7727343983463,-148.11172168612654
train_00001,train,0,B2,167.7694473845074,-364.12572129751794,-86.37702654217597
train_00001,train,0,B3,366.6223184591242,-140.6549117814154,-606.4620484622786
train_00001,train,0,C1,1219.3197203431325,461.5140017792686,-26.689324507117774
train_00001,train,0,C2,1388.716802805581,-26.873353172161416,132.5572349862227
train_00001,train,0,C3,1466.5180974413513,58.30988004063252,-395.92475631258105
train_00001,train,1,A1,-999.9471738666417,272.9458721652782,99.36133123703073
train_00001,train,1,A2,-1149.9656663543697,-199.00878515427695,166.9976227319189
train_00001,train,1,A3,-1299.9284660741384,-34.451475700112184,-195.43809024727565
train_00001,train,1,B1,-299.95082343405943,281.88234552317186,102.63994613373944
train_00001,train,1,B2,0.02033082522688412,-229.895544618029,192.8194588958876
train_00001,train,1,B3,299.9639033816072,-52.08341146948662,-295.39287311790946
train_00001,train,1,C1,999.9761796095326,281.9042028148611,102.62712897107416
train_00001,train,1,C2,1149.986098298224,-229.83360360933548,192.74369893151044
train_00001,train,1,C3,1299.9562606191455,-52.09119894383344,-295.4624674879312
train_00001,train,2,A1,-749.9251168872515,272.8881552122874,99.35824900076645
train_00001,train,2,A2,-899.9900654200711,-199.02589597633866,166.9141406250854
train_00001,train,2,A3,-1049.9787283108064,-34.392775423106784,-195.4811850998788
train_00001,train,2,B1,-300.07302447700465,281.837433148747,102.65837654005826
train_00001,train,2,B2,0.045393198694714254,-229.8833605248113,192.82914874506855
train_00001,train,2,B3,300.02728080409486,-52.0869116209559,-295.40300660863653
train_00001,train,2,C1,999.971867120872,281.8809254098889,102.58153352321789
train_00001,train,2,C2,1149.9590801409338,-229.81090573889986,192.74248041283087
train_00001,train,2,C3,1299.9982528509431,-51.96997850500169,-295.5152506447476
train_00001,train,3,A1,-749.9941381813584,272.92235866084064,99.40955674449714
train_00001,train,3,A2,-900.0318407913122,-199.08045662324503,166.86152702033084
train_00001,train,3,A3,-1049.9547923105615,-34.427827373846895,-195.47364795732162
train_00001,train,3,B1,-300.0255304717128,281.8933913617899,102.62622125835816
train_00001,train,3,B2,-0.003002045456205347,-229.78702025867295,192.86617896698465
train_00001,train,3,B3,299.99339046832347,-52.08619644176468,-295.4086496800235
train_00001,train,3,C1,749.693761355075,281.1481886228929,103.44196854921213
train_00001,train,3,C2,899.7762467519465,-230.5803363877194,193.65018510692224
train_00001,train,3,C3,1049.6835918761928,-52.81549274695379,-294.62856887078186
train_00001,train,4,A1,-749.9801809521693,272.9463302476293,99.3026431294144
train_00001,train,4,A2,-899.8364576297528,-199.1392161197516,167.04545307659058
train_00001,train,4,A3,-1049.9819935182975,-34.5406996198749,-195.36143585721064
train_00001,train,4,B1,-300.0155377622403,282.0608273059843,102.47270993243808
train_00001,train,4,B2,0.23413102271930825,-229.53524100944804,192.60732048230787
train_00001,train,4,B3,299.94075777319387,-51.73657851711558,-295.83812708008753
train_00001,train,4,C1,749.6946228075641,281.66141306580187,102.80167960198379
train_00001,train,4,C2,899.9542181630574,-229.90496091263475,193.02416060761098
train_00001,train,4,C3,1049.6653883321592,-52.222156909875295,-295.38358235892355
train_00002,train,0,A1,-1257.8966747753907,321.6530087190601,258.1379562159343
train_00002,train,0,A2,-1391.483519967552,-151.8349856287299,346.4698152883902
train_00002,train,0,A3,-1498.1424951702686,-26.555051058521045,-45.86529718666834
train_00002,train,0,B1,-509.5917093320237,-52.572435032904565,100.59055032941887
train_00002,train,0,B2,-298.1170281782527,-612.2532698071573,54.90990727169662
train_00002,train,0,B3,60.298066636555795,-362.79544751284527,-356.59349943916544
train_00002,train,0,C1,1279.496655307449,87.25912357658191,201.74983456705604
train_00002,train,0,C2,1367.5028026659027,-445.58842729209056,229.8750594463065
train_00002,train,0,C3,1570.7310598788301,-224.68676336350566,-219.99188634003147
train_00002,train,1,A1,-1000.0126846158875,272.9807905191995,99.36407781542842
train_00002,train,1,A2,-1149.9473972972396,-199.07400324927465,167.03790415118084
train_00002,train,1,A3,-1299.9578900896886,-34.4722671830279,-195.41700194235924
train_00002,train,1,B1,-300.0752323112262,281.93074704348766,102.56292954631472
train_00002,train,1,B2,-0.07613400452797604,-229.80811367725457,192.873605934502
train_00002,train,1,B3,299.97841720869206,-52.0777781480409,-295.4083665367337
train_00002,train,1,C1,1000.0150247993149,281.90103924617233,102.59489114292994
train_00002,train,1,C2,1150.0170491379022,-229.8133726139062,192.83185570532288
train_00002,train,1,C3,1299.9998619085727,-52.12454363107672,-295.44363183783724
train_00002,train,2,A1,-750.106905405265,273.0103402074917,99.18186968103305
train_00002,train,2,A2,-900.0510544985798,-199.0035619404595,166.81911166803755
train_00002,train,2,A3,-1050.0337605422328,-34.44427564532005,-195.6128654264381
train_00002,train,2,B1,-300.0915197738893,281.9176089678168,102.64035259292336
train_00002,train,2,B2,-0.07268815276702362,-229.7875960845179,192.84991959892588
