sample_id,split,stage,point,x,y,z,target_x,target_y,target_z,final_target_x,final_target_y,final_target_z
train_00000,train,0,A1,-1349.9854640944045,622.8786138556821,186.8196426915456,-1350.0,622.9560403143369,186.84787393758415,-750.0,272.9560403143369,99.34787393758417
train_00000,train,0,A2,-1500.021305724818,150.95549613849542,254.47216933511984,-1500.0,150.9758155493185,254.50111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,0,A3,-1649.9931961918,315.54116255971076,-107.89757744373362,-1650.0,315.54275797053066,-107.91673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,0,B1,-299.9973676266479,-68.10433856531029,15.153138484952526,-300.0,-68.0922137642275,15.106042997700612,-300.0,281.9077862357725,102.60604299770061
train_00000,train,0,B2,-0.018059887979001706,-579.8165685731116,105.28192514234739,0.0,-579.8133329356933,105.33628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,0,B3,299.94916393223224,-402.12463740829673,-382.9186856253433,300.0,-402.0944533000791,-382.9423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,0,C1,1349.9818663648532,631.875562347353,190.09668276047185,1350.0,631.9077862357725,190.10604299770063,750.0,281.9077862357725,102.60604299770061
train_00000,train,0,C2,1499.9786536142383,120.23953330799479,280.32289599916766,1500.0,120.18666706430662,280.33628290596187,900.0,-229.81333293569338,192.83628290596184
train_00000,train,0,C3,1649.9807865777232,297.86841449228655,-207.92868254326564,1650.0,297.9055466999209,-207.94232590366238,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,A1,-1000.028110259736,273.0044437797496,99.39171849166053,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,1,A2,-1150.0247628935685,-198.98906495326142,166.9965197155305,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,1,A3,-1300.0112778348719,-34.51239920936992,-195.3903833057271,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,1,B1,-300.0570192772441,281.9365036792121,102.54120954364454,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,1,B2,0.08588359304209156,-229.79043013430527,192.90380760169293,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,1,B3,300.0314133621291,-52.12443230614188,-295.43423258732804,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,C1,1000.0144093541602,281.88419815165685,102.60998797597013,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,1,C2,1149.959724721462,-229.82246152800357,192.80565651301302,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,1,C3,1300.0178864031743,-52.05080219530163,-295.43715786989657,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,2,A1,-750.0028036808415,272.8831820211531,99.38045626688395,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,2,A2,-899.9311785714036,-199.0924196155051,167.0892027150371,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,2,A3,-1050.0191777977238,-34.686484640322064,-195.40752531852507,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,2,B1,-300.0118179837457,281.97662174964245,102.46894363057338,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,2,B2,0.04721670021083031,-229.72012724160757,192.90219549148986,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,2,B3,299.9868471789983,-52.109674310757406,-295.39726943101834,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,2,C1,999.9962045241595,281.89223067385694,102.58223161417158,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,2,C2,1149.9283034627192,-229.83652899811494,192.82309898588915,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,2,C3,1300.0407858307701,-52.074182371346055,-295.4492713340949,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,3,A1,-749.9849639497235,272.8668243929059,99.34487380007567,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,3,A2,-899.8895065878899,-199.04885141037906,167.09008757637247,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,3,A3,-1049.9323450288775,-34.62974518947803,-195.43838295799156,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,3,B1,-299.98058130319635,281.90250666811113,102.54958475527717,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,3,B2,0.07279243305251222,-229.78888898432209,192.97031668905086,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,3,B3,299.96930557913447,-52.104866464194146,-295.4137377545691,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,3,C1,750.0292076478344,282.1630787880696,102.49685064541987,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,3,C2,900.0329913700567,-229.57673369261,192.93399964382746,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,3,C3,1050.0051316424613,-51.97527968100254,-295.4382331792373,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,4,A1,-749.8797156156295,272.8871226874443,99.427140375066,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,4,A2,-899.948672954573,-199.0108754875509,167.0533712670344,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,4,A3,-1049.983848651789,-34.447529672636904,-195.51521909832584,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,4,B1,-300.07135167198857,281.83434572405974,102.5893373377983,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,4,B2,0.07851043275718929,-229.8300852757327,192.82739701352148,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,4,B3,299.9560886846286,-52.143439254821104,-295.4438122613126,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,4,C1,749.9652519109173,281.92231567328804,102.54891971683048,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,4,C2,900.0372442725159,-229.802167807558,192.79194333393556,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,4,C3,1049.9771019428567,-52.03657206978754,-295.46483997757434,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,0,A1,-1349.948821891139,622.9418138285721,186.83661965339058,-1350.0,622.9560403143369,186.84787393758415,-750.0,272.9560403143369,99.34787393758417
train_00001,train,0,A2,-1499.9536749023205,150.98537875951516,254.51262385391297,-1500.0,150.9758155493185,254.50111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,0,A3,-1650.0092017102618,315.5427965088987,-107.90228937111962,-1650.0,315.54275797053066,-107.91673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,0,B1,-299.97577110261193,-68.03503744020229,15.09584475305136,-300.0,-68.0922137642275,15.106042997700612,-300.0,281.9077862357725,102.60604299770061
train_00001,train,0,B2,0.001527563521299539,-579.7863507302227,105.3343672762672,0.0,-579.8133329356933,105.33628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,0,B3,299.9358527671734,-402.0575916441691,-383.0136130504965,300.0,-402.0944533000791,-382.9423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,0,C1,1350.014967616063,631.9457285403588,190.08489250292956,1350.0,631.9077862357725,190.10604299770063,750.0,281.9077862357725,102.60604299770061
train_00001,train,0,C2,1500.0199438025534,120.22570339043473,280.3519862397197,1500.0,120.18666706430662,280.33628290596187,900.0,-229.81333293569338,192.83628290596184
train_00001,train,0,C3,1649.9779153681648,297.89311034898657,-207.96060187056193,1650.0,297.9055466999209,-207.94232590366238,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,1,A1,-1000.0438867337277,273.0159965002889,99.33658690140511,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,1,A2,-1150.0275877930385,-198.99897165813485,166.96000941900311,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,1,A3,-1300.0052290400022,-34.38134929123859,-195.4487566389207,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,1,B1,-299.98544228673177,281.78974443224087,102.54323900299153,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,1,B2,0.062488288344672634,-229.87401517242913,192.83655711361172,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,1,B3,300.0552437458358,-52.1286314572184,-295.3546651480935,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,1,C1,1000.0160600995174,281.9827540143153,102.58048948517106,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,1,C2,1149.950359990601,-229.8184016513471,192.81296698864261,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,1,C3,1300.0271515513143,-52.10040591672049,-295.4366988044202,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,2,A1,-750.0036909367489,272.762975195042,99.2488447167698,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,2,A2,-899.9794561401728,-199.19794651496858,166.9703224252831,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,2,A3,-1049.8889373376194,-34.77443609008628,-195.5609653221847,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,2,B1,-300.0308590874661,281.84122422344655,102.59861788618538,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,2,B2,0.013462304348709861,-229.87338756501802,192.8635922419036,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,2,B3,300.06477270288224,-52.13979237921015,-295.3950998414541,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,2,C1,999.966576856381,281.9913771242986,102.62005797956367,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,2,C2,1149.9161215275399,-229.86062507570873,192.87400693441398,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,2,C3,1300.0215304238845,-52.108748413411206,-295.51965191423807,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,3,A1,-750.0448952060755,272.7100600083565,99.2646248173873,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,3,A2,-899.9490196508381,-199.20781992586276,167.02251014445972,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,3,A3,-1049.8946968614675,-34.713426913349046,-195.53636543135892,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,3,B1,-300.04826478795184,281.826376864036,102.60370840314312,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,3,B2,0.0025761816211824218,-229.890748463296,192.7740091365309,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,3,B3,300.04142861978954,-52.106345719623974,-295.3441904519666,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,3,C1,749.9231823560575,281.9059826645117,102.66978247698934,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,3,C2,900.0939482646627,-229.86753831825717,192.99832967125448,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,3,C3,1050.138947676688,-52.11525008599241,-295.29640324573126,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00001,train,4,A1,-750.100104697097,272.8988545171385,99.25774166964923,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00001,train,4,A2,-900.101535160277,-198.97436860518056,167.08391287524353,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00001,train,4,A3,-1049.97663948383,-34.46634205003575,-195.45404047410588,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00001,train,4,B1,-300.00804942384065,282.02378530493667,102.5430717344293,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00001,train,4,B2,0.039273676817333215,-229.68049916264852,192.7854966402804,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00001,train,4,B3,299.86072716398303,-52.0271623199658,-295.46896443684375,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00001,train,4,C1,750.048581438288,281.9514745385185,102.5694851315881,750.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00001,train,4,C2,900.0070070987974,-229.84092694954688,192.96124198350313,900.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00001,train,4,C3,1050.0678464665505,-52.058512722807464,-295.46896925129164,1050.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,0,A1,-1350.0097135178783,622.957104801187,186.89905731196853,-1350.0,622.9560403143369,186.84787393758415,-750.0,272.9560403143369,99.34787393758417
train_00002,train,0,A2,-1499.99859679098,151.00106593854085,254.52111464822383,-1500.0,150.9758155493185,254.50111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,0,A3,-1650.0422438682795,315.55396023472366,-107.91151598153841,-1650.0,315.54275797053066,-107.91673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,0,B1,-299.9756170233787,-68.08957109739009,15.10320477823688,-300.0,-68.0922137642275,15.106042997700612,-300.0,281.9077862357725,102.60604299770061
train_00002,train,0,B2,0.03727075119360687,-579.8471860250065,105.32944140691373,0.0,-579.8133329356933,105.33628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,0,B3,300.0312435590287,-402.0678809639193,-382.926514596498,300.0,-402.0944533000791,-382.9423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,0,C1,1350.011058647153,631.9256025516975,190.0608782623296,1350.0,631.9077862357725,190.10604299770063,750.0,281.9077862357725,102.60604299770061
train_00002,train,0,C2,1499.9414706579216,120.23931726427698,280.3301680001845,1500.0,120.18666706430662,280.33628290596187,900.0,-229.81333293569338,192.83628290596184
train_00002,train,0,C3,1649.9460576270542,297.9013255416011,-207.91992114725772,1650.0,297.9055466999209,-207.94232590366238,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,1,A1,-1000.0145105944515,272.961519167396,99.30633998947806,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,1,A2,-1150.023842052642,-199.0982635687492,166.99152772110023,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,1,A3,-1299.9785949421503,-34.449710445082616,-195.4062386584196,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,1,B1,-300.0063183497257,281.9222423282159,102.57429377199557,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,1,B2,0.009882509014223564,-229.8270538929305,192.79188480981935,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,1,B3,299.9590568771924,-52.126255814755176,-295.4947635911575,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,1,C1,1000.0461773019338,281.7898307507423,102.6793770191452,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00002,train,1,C2,1150.0252675695451,-229.86444973056624,192.75029679262116,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00002,train,1,C3,1299.9829545520195,-52.0880127156415,-295.41690962273054,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,2,A1,-749.9829191289215,272.91916776721513,99.3553548908044,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,2,A2,-899.9764863876275,-199.03877362639597,167.01842470563167,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,2,A3,-1049.9915677584997,-34.378405530154815,-195.37071425762605,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,2,B1,-300.0249326865061,281.97070107333826,102.49967527376859,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,2,B2,-0.005624631405384188,-229.75546689204134,192.83860135345574,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00002,train,2,B3,299.9664504464072,-52.137701815757744,-295.5042979953652,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00002,train,2,C1,1000.0695224168788,281.80448336038125,102.56413161373548,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00002,train,2,C2,1150.003451295072,-229.86863562215584,192.79781607985151,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00002,train,2,C3,1299.9366594196993,-52.03144356347426,-295.44199774702906,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00002,train,3,A1,-749.9020752403242,273.00010326403145,99.35919486644646,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00002,train,3,A2,-900.0385547297158,-198.98937244852593,167.0089567690118,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00002,train,3,A3,-1050.0132808201402,-34.34727826785624,-195.30165215661816,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00002,train,3,B1,-299.98005094396126,282.05976635390886,102.44942406528676,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00002,train,3,B2,-0.015023410603743723,-229.7199602454576,192.88729492834975,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
