sample_id,split,stage,point,local_x,local_y,local_z,observed_x,observed_y,observed_z,target_x,target_y,target_z,final_target_x,final_target_y,final_target_z
train_00000,train,0,A1,150.0,272.9560403143369,99.34787393758417,-1096.3212508255824,205.23124916226226,-238.93759590879048,,,,-750.0,272.9560403143369,99.34787393758417
train_00000,train,0,A2,0.0,-199.0241844506815,167.00111976792584,-1177.4641831354547,-266.4435372160956,-94.66523080273326,,,,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,0,A3,-150.0,-34.45724202946934,-195.41673027589673,-1311.8919820958579,-195.948559928185,-491.9479590476581,,,,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,0,B1,-300.0,281.9077862357725,102.60604299770061,42.94595824270057,494.3275736067644,412.5134807016126,,,,-300.0,281.9077862357725,102.60604299770061
train_00000,train,0,B2,0.0,-229.81333293569338,192.83628290596184,352.03657999615746,-19.107727247673264,442.14789874987986,,,,0.0,-229.81333293569338,192.83628290596184
train_00000,train,0,B3,300.0,-52.0944533000791,-295.4423259036624,566.5162228463837,167.2247236053079,-86.3249691867783,,,,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,0,C1,-150.0,281.9077862357725,102.60604299770061,870.1690012502318,-20.104439800299794,408.46976519546405,,,,750.0,281.9077862357725,102.60604299770061
train_00000,train,0,C2,0.0,-229.81333293569338,192.83628290596184,948.6145587171633,-555.1104668882593,422.2284387436422,,,,900.0,-229.81333293569338,192.83628290596184
train_00000,train,0,C3,150.0,-52.0944533000791,-295.4423259036624,1091.1797617203874,-335.9526721979243,-51.24470790974546,,,,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,A1,150.0,272.9560403143369,99.34787393758417,-999.9830946047299,273.0861696782392,99.28509152706877,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,1,A2,0.0,-199.0241844506815,167.00111976792584,-1149.9261178470394,-198.97623013383563,166.98323639441685,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,1,A3,-150.0,-34.45724202946934,-195.41673027589673,-1300.0211052509962,-34.36882803833585,-195.48491422929595,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,1,B1,-300.0,281.9077862357725,102.60604299770061,-300.00232748278427,281.92509700986705,102.5576291638996,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,1,B2,0.0,-229.81333293569338,192.83628290596184,0.05105011399786946,-229.82622559244786,192.76579219166223,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,1,B3,300.0,-52.0944533000791,-295.4423259036624,300.04588283404513,-52.01610453897081,-295.4496789698025,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,C1,-150.0,281.9077862357725,102.60604299770061,1000.0265239356423,281.89915201070295,102.6418992066051,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,1,C2,0.0,-229.81333293569338,192.83628290596184,1150.0195774717813,-229.81885557442146,192.83951585105262,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,1,C3,150.0,-52.0944533000791,-295.4423259036624,1300.0806709081962,-51.97424938501436,-295.4424799738838,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,2,A1,150.0,272.9560403143369,99.34787393758417,-749.9270555399804,272.9592333883599,99.23006148549419,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,2,A2,0.0,-199.0241844506815,167.00111976792584,-900.0361793536096,-198.99879017302825,166.95885588840287,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,2,A3,-150.0,-34.45724202946934,-195.41673027589673,-1049.9310360481957,-34.43553264142372,-195.54552570052755,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,2,B1,-300.0,281.9077862357725,102.60604299770061,-299.9966257162141,281.95132073917216,102.60136028674829,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,2,B2,0.0,-229.81333293569338,192.83628290596184,-0.010547844571385825,-229.84102177558597,192.79678924343028,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,2,B3,300.0,-52.0944533000791,-295.4423259036624,300.00313371745017,-52.03389041179636,-295.51608837918565,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
