sample_id,split,stage,point,x,y,z
train_00000,train,0,A1,-1096.3212508255824,205.23124916226226,-238.93759590879048
train_00000,train,0,A2,-1177.4641831354547,-266.4435372160956,-94.66523080273326
train_00000,train,0,A3,-1311.8919820958579,-195.948559928185,-491.9479590476581
train_00000,train,0,B1,42.94595824270057,494.3275736067644,412.5134807016126
train_00000,train,0,B2,352.03657999615746,-19.107727247673264,442.14789874987986
train_00000,train,0,B3,566.5162228463837,167.2247236053079,-86.3249691867783
train_00000,train,0,C1,870.1690012502318,-20.104439800299794,408.46976519546405
train_00000,train,0,C2,948.6145587171633,-555.1104668882593,422.2284387436422
train_00000,train,0,C3,1091.1797617203874,-335.9526721979243,-51.24470790974546
train_00000,train,1,A1,-999.9830946047299,273.0861696782392,99.28509152706877
train_00000,train,1,A2,-1149.9261178470394,-198.97623013383563,166.98323639441685
train_00000,train,1,A3,-1300.0211052509962,-34.36882803833585,-195.48491422929595
train_00000,train,1,B1,-300.00232748278427,281.92509700986705,102.5576291638996
train_00000,train,1,B2,0.05105011399786946,-229.82622559244786,192.76579219166223
train_00000,train,1,B3,300.04588283404513,-52.01610453897081,-295.4496789698025
train_00000,train,1,C1,1000.0265239356423,281.89915201070295,102.6418992066051
train_00000,train,1,C2,1150.0195774717813,-229.81885557442146,192.83951585105262
train_00000,train,1,C3,1300.0806709081962,-51.97424938501436,-295.4424799738838
train_00000,train,2,A1,-749.922079377334,272.92666937728484,99.152702808072
train_00000,train,2,A2,-900.005305310546,-199.04820527890166,166.82140275136837
train_00000,train,2,A3,-1049.8808355223846,-34.45846725115378,-195.67894827847596
train_00000,train,2,B1,-299.9966257162141,281.95132073917216,102.60136028674829
train_00000,train,2,B2,-0.010547844571385825,-229.84102177558597,192.79678924343028
train_00000,train,2,B3,300.00313371745017,-52.03389041179636,-295.51608837918565
train_00000,train,2,C1,999.9575997638218,281.85573774461363,102.6177718081201
train_00000,train,2,C2,1150.08746802153,-229.82735903871867,192.812508539146
train_00000,train,2,C3,1300.0904574359538,-52.06359850647545,-295.39482780171613
train_00000,train,3,A1,-749.9185297691248,272.88810709956886,99.17917358418852
train_00000,train,3,A2,-900.013076558523,-199.09469821992104,166.85147555931974
train_00000,train,3,A3,-1049.9375629457738,-34.49342155268529,-195.63301345962853
train_00000,train,3,B1,-299.9503073407144,281.96916172840554,102.60835322301193
train_00000,train,3,B2,-0.012242094236670371,-229.81352464546566,192.77014400483094
train_00000,train,3,B3,299.9935309000944,-51.92167860325507,-295.489675358142
train_00000,train,3,C1,750.1370098687071,282.01840660851076,102.59224855366004
train_00000,train,3,C2,900.0086258863649,-229.73364051471233,192.69228050974513
train_00000,train,3,C3,1049.992113090164,-51.963247542718776,-295.61937968449143
train_00000,train,4,A1,-749.9997578898208,272.98333427444544,99.23547796919648
train_00000,train,4,A2,-900.1131853761053,-198.98036545744404,166.94881996866198
train_00000,train,4,A3,-1049.9553129119172,-34.492463848394394,-195.50966307491703
train_00000,train,4,B1,-299.97577093118025,281.9030245418084,102.6153079843266
train_00000,train,4,B2,-0.06363748103890855,-229.83149011017508,192.90868800184745
train_00000,train,4,B3,299.92337077070374,-52.14840399114831,-295.3559982867515
train_00000,train,4,C1,750.0881046027805,281.8915375561706,102.55155861665749
train_00000,train,4,C2,899.9691584945746,-229.79334292241867,192.80132279264987
train_00000,train,4,C3,1049.9655171790334,-52.10694275900216,-295.48382653928326
train_00001,train,0,A1,-1259.3820058118642,322.09112599348,29.92560066709609
train_00001,train,0,A2,-1413.6651561744065,-147.47585060536895,104.45127866493637
train_00001,train,0,A3,-1565.4702825918198,14.561246088210508,-258.3534202729459
train_00001,train,0,B1,-218.98893368477627,1.1096165947149867,447.77583583315635
train_00001,train,0,B2,78.380722417311,-516.2111417471184,385.7645136990758
train_00001,train,0,B3,284.4394058063,-251.2168885928246,-111.60262936556713
train_00001,train,0,C1,958.9572701887668,483.55031507392493,105.44949014000646
train_00001,train,0,C2,1166.0509249782265,-9.347584318588364,187.41937963264195
train_00001,train,0,C3,1172.2940158338833,134.79758021408298,-333.79259100574956
train_00001,train,1,A1,-1000.0550294484339,272.99240433720126,99.33645566115203
train_00001,train,1,A2,-1149.9812475964359,-198.98420781248922,166.96428748763037
train_00001,train,1,A3,-1299.9425019817281,-34.53299129724739,-195.4711035549216
train_00001,train,1,B1,-300.03511877085714,281.89881665820354,102.63567253786374
train_00001,train,1,B2,-0.020919481483182185,-229.76480613766503,192.86065773319913
train_00001,train,1,B3,300.00063198818924,-52.10911980176007,-295.5421700614128
train_00001,train,1,C1,999.9492734957723,281.874182228997,102.5839570065786
train_00001,train,1,C2,1150.0433339108686,-229.843164119378,192.7923343982854
train_00001,train,1,C3,1300.1270659096429,-52.10299561565582,-295.41332300786684
train_00001,train,2,A1,-749.9686293789762,272.9807401270972,99.39891788421653
train_00001,train,2,A2,-900.0095365562147,-198.88568766156595,167.09768300138342
train_00001,train,2,A3,-1050.0380137199168,-34.429681913056,-195.28853690562082
train_00001,train,2,B1,-300.0246901072068,281.90731379090914,102.56189702745924
train_00001,train,2,B2,-0.0038293275715044,-229.80831213307988,192.799748160284
train_00001,train,2,B3,300.00590539381085,-52.096683257844035,-295.41988222196494
train_00001,train,2,C1,999.9392507201657,281.8724079615785,102.59594823696615
train_00001,train,2,C2,1150.0813938136691,-229.80455916708732,192.8655980984126
train_00001,train,2,C3,1300.1248680493868,-52.03004975373529,-295.4330239291312
train_00001,train,3,A1,-749.9869591495774,272.9979152350622,99.40606163130097
train_00001,train,3,A2,-899.9877484126112,-199.0180833092497,167.02814943136576
train_00001,train,3,A3,-1050.096035293998,-34.3702561662909,-195.29600264361397
train_00001,train,3,B1,-300.08063330262877,281.8982773737231,102.5783742131882
train_00001,train,3,B2,-0.028725344512652067,-229.79646001179307,192.78634028965354
train_00001,train,3,B3,299.9767904545519,-52.07842633753454,-295.47061418108484
train_00001,train,3,C1,749.9995737716325,281.89197002517227,102.60240608281373
train_00001,train,3,C2,899.9133254835045,-229.85036101161788,192.85775365710387
train_00001,train,3,C3,1049.9884066596303,-52.20505707953894,-295.385167559827
train_00001,train,4,A1,-749.9775032208188,273.0112069979379,99.42362281968504
train_00001,train,4,A2,-899.9699148980529,-199.00826372910896,167.10518339565547
train_00001,train,4,A3,-1050.0653918987884,-34.37238347492041,-195.36685141294785
train_00001,train,4,B1,-300.01629147244137,281.99214339970734,102.60174348430849
train_00001,train,4,B2,0.04299164317743253,-229.830348131318,192.77361059331898
train_00001,train,4,B3,299.973302387091,-52.027782725514015,-295.4969236451881
train_00001,train,4,C1,750.026451099652,281.88941591099865,102.64169970003339
train_00001,train,4,C2,899.9280237080357,-229.9026816899558,192.86637131350975
train_00001,train,4,C3,1050.0477123479066,-52.17593603873145,-295.29309656334107
