sample_id,split,stage,point,local_x,local_y,local_z,observed_x,observed_y,observed_z,target_x,target_y,target_z,final_target_x,final_target_y,final_target_z
train_00000,train,0,A1,150.0,272.9560403143369,99.34787393758417,-1009.4826370068237,-24.242579681511284,319.92735813466356,,,,-750.0,272.9560403143369,99.34787393758417
train_00000,train,0,A2,0.0,-199.0241844506815,167.00111976792584,-1218.3324147648225,-439.5177078446976,503.69666937603284,,,,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,0,A3,-150.0,-34.45724202946934,-195.41673027589673,-1325.503660540596,-373.5834015258102,97.42365990659425,,,,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,0,B1,-300.0,281.9077862357725,102.60604299770061,-456.572877885699,-22.450599070156702,-48.873403223058226,,,,-300.0,281.9077862357725,102.60604299770061
train_00000,train,0,B2,0.0,-229.81333293569338,192.83628290596184,-194.69851143970106,-552.576547852576,53.06212652213929,,,,0.0,-229.81333293569338,192.83628290596184
train_00000,train,0,B3,300.0,-52.0944533000791,-295.4423259036624,148.62240945581084,-387.1999194780153,-410.3708162151108,,,,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,0,C1,-150.0,281.9077862357725,102.60604299770061,710.6032570170207,481.66625714845713,-189.38187944425974,,,,750.0,281.9077862357725,102.60604299770061
train_00000,train,0,C2,0.0,-229.81333293569338,192.83628290596184,827.2479262202481,3.2976557433723026,34.43218844870042,,,,900.0,-229.81333293569338,192.83628290596184
train_00000,train,0,C3,150.0,-52.0944533000791,-295.4423259036624,963.94402313825,27.172748193447386,-488.23887598315,,,,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,A1,150.0,272.9560403143369,99.34787393758417,-999.9490792175092,273.013679556169,99.34373439853168,-1000.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,1,A2,0.0,-199.0241844506815,167.00111976792584,-1150.0178979678703,-198.9398868395537,167.0800782140211,-1150.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,1,A3,-150.0,-34.45724202946934,-195.41673027589673,-1299.9715688135182,-34.38790626695504,-195.42485993054171,-1300.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,1,B1,-300.0,281.9077862357725,102.60604299770061,-299.979141209686,281.87823736455306,102.60294198141948,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,1,B2,0.0,-229.81333293569338,192.83628290596184,-0.03218377564307016,-229.83159975106798,192.87193356288918,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,1,B3,300.0,-52.0944533000791,-295.4423259036624,300.00526170423484,-52.14812159845766,-295.494869109776,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,1,C1,-150.0,281.9077862357725,102.60604299770061,999.9435459608878,281.9631426124451,102.50451356594121,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,1,C2,0.0,-229.81333293569338,192.83628290596184,1150.0204512068879,-229.74468771644626,192.74012199451306,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,1,C3,150.0,-52.0944533000791,-295.4423259036624,1300.0318505828845,-52.01517010052329,-295.536302885047,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,2,A1,150.0,272.9560403143369,99.34787393758417,-749.9463895682308,272.9874822653474,99.38432439297992,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
train_00000,train,2,A2,0.0,-199.0241844506815,167.00111976792584,-899.981620832359,-199.09103473898617,167.01891058534048,-900.0,-199.0241844506815,167.00111976792584,-900.0,-199.0241844506815,167.00111976792584
train_00000,train,2,A3,-150.0,-34.45724202946934,-195.41673027589673,-1049.9896019547364,-34.455705011014956,-195.37188216020982,-1050.0,-34.45724202946934,-195.41673027589673,-1050.0,-34.45724202946934,-195.41673027589673
train_00000,train,2,B1,-300.0,281.9077862357725,102.60604299770061,-299.99596196135735,281.82929207646214,102.655608142606,-300.0,281.9077862357725,102.60604299770061,-300.0,281.9077862357725,102.60604299770061
train_00000,train,2,B2,0.0,-229.81333293569338,192.83628290596184,-0.020002897641208932,-229.810448516888,192.808334031171,0.0,-229.81333293569338,192.83628290596184,0.0,-229.81333293569338,192.83628290596184
train_00000,train,2,B3,300.0,-52.0944533000791,-295.4423259036624,300.0250949135999,-52.169293075752826,-295.4861075716298,300.0,-52.0944533000791,-295.4423259036624,300.0,-52.0944533000791,-295.4423259036624
train_00000,train,2,C1,-150.0,281.9077862357725,102.60604299770061,999.9549699716403,281.99960094777214,102.57280054197633,1000.0,281.9077862357725,102.60604299770061,750.0,281.9077862357725,102.60604299770061
train_00000,train,2,C2,0.0,-229.81333293569338,192.83628290596184,1150.0226811191244,-229.76853276236352,192.73116877641365,1150.0,-229.81333293569338,192.83628290596184,900.0,-229.81333293569338,192.83628290596184
train_00000,train,2,C3,150.0,-52.0944533000791,-295.4423259036624,1300.007338613111,-52.00012087285743,-295.52520570178586,1300.0,-52.0944533000791,-295.4423259036624,1050.0,-52.0944533000791,-295.4423259036624
train_00000,train,3,A1,150.0,272.9560403143369,99.34787393758417,-749.9511877055364,272.94347460542826,99.40094036999953,-750.0,272.9560403143369,99.34787393758417,-750.0,272.9560403143369,99.34787393758417
