sample_id,split,stage,point,x,y,z
train_00000,train,0,A1,-1009.4826370068237,-24.242579681511284,319.92735813466356
train_00000,train,0,A2,-1218.3324147648225,-439.5177078446976,503.69666937603284
train_00000,train,0,A3,-1325.503660540596,-373.5834015258102,97.42365990659425
train_00000,train,0,B1,-456.572877885699,-22.450599070156702,-48.873403223058226
train_00000,train,0,B2,-194.69851143970106,-552.576547852576,53.06212652213929
train_00000,train,0,B3,148.62240945581084,-387.1999194780153,-410.3708162151108
train_00000,train,0,C1,710.6032570170207,481.66625714845713,-189.38187944425974
train_00000,train,0,C2,827.2479262202481,3.2976557433723026,34.43218844870042
train_00000,train,0,C3,963.94402313825,27.172748193447386,-488.23887598315
train_00000,train,1,A1,-999.9490792175092,273.013679556169,99.34373439853168
train_00000,train,1,A2,-1150.0178979678703,-198.9398868395537,167.0800782140211
train_00000,train,1,A3,-1299.9715688135182,-34.38790626695504,-195.42485993054171
train_00000,train,1,B1,-299.979141209686,281.87823736455306,102.60294198141948
train_00000,train,1,B2,-0.03218377564307016,-229.83159975106798,192.87193356288918
train_00000,train,1,B3,300.00526170423484,-52.14812159845766,-295.494869109776
train_00000,train,1,C1,999.9435459608878,281.9631426124451,102.50451356594121
train_00000,train,1,C2,1150.0204512068879,-229.74468771644626,192.74012199451306
train_00000,train,1,C3,1300.0318505828845,-52.01517010052329,-295.536302885047
train_00000,train,2,A1,-749.9463895682308,272.9874822653474,99.38432439297992
train_00000,train,2,A2,-899.981620832359,-199.09103473898617,167.01891058534048
train_00000,train,2,A3,-1049.9896019547364,-34.455705011014956,-195.37188216020982
train_00000,train,2,B1,-299.99596196135735,281.82929207646214,102.655608142606
train_00000,train,2,B2,-0.020002897641208932,-229.810448516888,192.808334031171
train_00000,train,2,B3,300.0250949135999,-52.169293075752826,-295.4861075716298
train_00000,train,2,C1,999.9549699716403,281.99960094777214,102.57280054197633
train_00000,train,2,C2,1150.0226811191244,-229.76853276236352,192.73116877641365
train_00000,train,2,C3,1300.007338613111,-52.00012087285743,-295.52520570178586
train_00000,train,3,A1,-749.9511877055364,272.94347460542826,99.40094036999953
train_00000,train,3,A2,-899.984329406114,-199.0744886871526,167.06895010026892
train_00000,train,3,A3,-1049.93515741005,-34.464008789160225,-195.41595776973395
train_00000,train,3,B1,-299.9427850498723,281.8806224408009,102.57894572934688
train_00000,train,3,B2,0.03125807309889492,-229.88411597800612,192.86665657544253
train_00000,train,3,B3,300.00243328197934,-52.12749669864792,-295.39340996906134
train_00000,train,3,C1,750.0154796826274,281.8082877175349,102.43793725945142
train_00000,train,3,C2,900.049599611433,-229.8519600623693,192.70431533045684
train_00000,train,3,C3,1049.9173282685495,-52.2166917945684,-295.5917915911025
train_00000,train,4,A1,-749.9785468297166,272.8959241473798,99.31917544475671
train_00000,train,4,A2,-899.9389167988867,-199.05982852810922,166.97829736950789
train_00000,train,4,A3,-1049.9325443246253,-34.4968756278522,-195.4463427046325
train_00000,train,4,B1,-299.9961725348116,281.87095439636784,102.60814626916907
train_00000,train,4,B2,0.07029889693773954,-229.8149410167997,192.8579971571118
train_00000,train,4,B3,300.0404702523719,-52.15354560677551,-295.40648675837593
train_00000,train,4,C1,750.0190203424982,281.9351213321755,102.51892988204827
train_00000,train,4,C2,900.0212937862617,-229.72009412124103,192.7921186773472
train_00000,train,4,C3,1049.9979613541307,-52.07253531878682,-295.5121681871254
train_00001,train,0,A1,-1188.7023830215885,288.43373064532267,344.07902243055963
train_00001,train,0,A2,-1351.1758131101017,-171.62559584928255,452.62627160563346
train_00001,train,0,A3,-1550.0772840192824,-7.983073639372834,114.18823672304661
train_00001,train,0,B1,-624.9167182086428,56.943355356928926,93.35886070645957
train_00001,train,0,B2,-422.6413435795505,-496.38631899372496,207.0905888681316
train_00001,train,0,B3,23.006826108163892,-326.96518904332845,-157.2315153037761
train_00001,train,0,C1,1283.6543298290803,191.33556667106834,396.3221145528233
train_00001,train,0,C2,1427.0662571554512,-328.76399002065034,435.29175255912816
train_00001,train,0,C3,1702.9347142513395,-64.98006329088902,52.03385685576018
train_00001,train,1,A1,-999.9847971682433,273.0531530617141,99.39477405991836
train_00001,train,1,A2,-1150.0077546477291,-199.0185913826917,167.05070355374812
train_00001,train,1,A3,-1300.0473330521925,-34.44655452777037,-195.3664159899388
train_00001,train,1,B1,-299.9924353387636,281.91053615943406,102.6398052985745
train_00001,train,1,B2,-0.009359430780375516,-229.8053776107627,192.8916534043782
train_00001,train,1,B3,299.9909014554567,-52.13538106942351,-295.3567340652645
train_00001,train,1,C1,1000.0218015239742,281.9437271868986,102.54529230950834
train_00001,train,1,C2,1150.0039366786,-229.81091499705545,192.7815988904904
train_00001,train,1,C3,1299.980453986297,-52.051213577836464,-295.54123595855447
train_00001,train,2,A1,-749.9995017824237,273.0061292207812,99.36963249485608
train_00001,train,2,A2,-900.059686195624,-198.9595507619392,167.05636613323725
train_00001,train,2,A3,-1049.9394650991082,-34.41141432445067,-195.43831260981275
train_00001,train,2,B1,-300.01217231392127,281.88909430170054,102.59136772713815
train_00001,train,2,B2,0.05128169161792154,-229.76447842919677,192.9375173063316
train_00001,train,2,B3,300.02088922713057,-52.09311692693124,-295.4448924468508
train_00001,train,2,C1,999.9613462155457,281.94104382904794,102.4755896254155
train_00001,train,2,C2,1150.0235601075947,-229.7477910714697,192.7912248896654
train_00001,train,2,C3,1299.9745656860612,-52.06746748254798,-295.52715892078345
train_00001,train,3,A1,-750.0079488006317,273.0100018111474,99.34897273772351
train_00001,train,3,A2,-900.0854607122974,-199.00977183553798,166.9904321128741
train_00001,train,3,A3,-1050.0250383661632,-34.3433974987798,-195.47462125422854
train_00001,train,3,B1,-299.98775703252807,281.89325016621143,102.5872596297628
train_00001,train,3,B2,0.02112607007246709,-229.76856606012703,192.90750112477858
train_00001,train,3,B3,300.0370119290087,-52.04329009905357,-295.39392760966535
train_00001,train,3,C1,749.9954900432294,281.9792134586525,102.6369195889248
